0,GKA,-6.0816898345900015,145.391998291
1,MAG,-5.20707988739,145.789001465
2,HGU,-5.826789855957031,144.29600524902344
3,LAE,-6.569803,146.725977
4,POM,-9.443380355834961,147.22000122070312
5,WWK,-3.5838301181800003,143.66900634799998
6,UAK,61.1604995728,-45.4259986877
7,GOH,64.19090271,-51.678100585900005
8,SFJ,67.0122218992,-50.7116031647
9,THU,76.5311965942,-68.70320129390001
10,AEY,65.66000366210939,-18.07270050048828
11,EGS,65.28330230712889,-14.401399612426758
12,HFN,64.295601,-15.2272
13,HZK,65.952301,-17.426001
14,IFJ,66.05809783935547,-23.13529968261719
15,KEF,63.985000610352,-22.605600357055998
16,PFJ,65.555801,-23.965
17,RKV,64.1299972534,-21.9405994415
18,SIJ,66.133301,-18.9167
19,VEY,63.42430114746094,-20.27890014648437
20,YAM,46.48500061035156,-84.5093994140625
23,YAY,51.391899108900006,-56.083099365200006
24,YAZ,49.079833,-125.77558300000001
25,YBB,68.534401,-89.808098
26,YBC,49.13249969482422,-68.20439910888672
27,YBG,48.33060073852539,-70.99639892578125
28,YBK,64.29889678960001,-96.077796936
29,YBL,49.95080184936523,-125.27100372314452
30,YBR,49.91,-99.951897
31,YCB,69.1081008911,-105.13800048799999
32,YCD,49.054970224899996,-123.869862556
33,YCG,49.296398162799996,-117.63200378399999
34,YCH,47.007801,-65.449203
35,YCL,47.990798999999996,-66.330299
36,YCO,67.816704,-115.143997
37,YCT,52.0750007629,-111.444999695
38,YCW,49.1528015137,-121.93900299100001
39,YCY,70.4860992432,-68.5167007446
40,YZS,64.1932983398,-83.3593978882
41,YDA,64.04309844970703,-139.12800598144528
42,YDB,61.37110137939453,-139.04100036621094
44,YDF,49.21080017089844,-57.39139938354492
45,YDL,58.4221992493,-130.031997681
46,YDN,51.10079956054688,-100.052001953125
47,YDQ,55.7422981262207,-120.18299865722656
48,YEG,53.309700012200004,-113.580001831
49,YEK,61.0942001343,-94.0708007812
50,YEN,49.210300445600005,-102.96600341799999
51,YET,53.5788993835,-116.46499633799999
52,YEU,79.9946975708,-85.814201355
53,YEV,68.30419921880001,-133.483001709
54,YFB,63.756402,-68.555801
55,YFC,45.86890029907226,-66.53720092773439
56,YFE,48.74610137939453,-69.09719848632811
57,YFO,54.6781005859375,-101.68199920654295
58,YFR,61.1808013916,-113.690002441
59,YFS,61.76020050048828,-121.23699951171876
60,YGK,44.22529983520508,-76.5969009399414
61,YGL,53.62530136108398,-77.7042007446289
62,YGP,48.775299072299994,-64.4785995483
63,YGQ,49.77830123901367,-86.93939971923828
64,YGR,47.42470169067383,-61.778099060058594
65,YHB,52.8166999817,-102.31099700899999
66,YHD,49.831699,-92.744202
67,YHI,70.76280212402344,-117.80599975585938
68,YHK,68.635597229,-95.8497009277
69,YHM,43.173599243199995,-79.93499755859999
70,YHU,45.5175018311,-73.4169006348
71,YHY,60.8396987915,-115.782997131
72,YHZ,44.880798339799995,-63.508598327600005
73,YIB,48.7738990784,-91.6386032104
74,YIO,72.6832962036,-77.9666976929
75,YJN,45.29439926147461,-73.28109741210938
76,YJT,48.5442008972168,-58.54999923706055
77,YKA,50.702201843299996,-120.444000244
78,YKF,43.4608001709,-80.3786010742
79,YKL,54.80530166625977,-66.8052978515625
80,YKY,51.5175018311,-109.180999756
81,YKZ,43.86220169067383,-79.37000274658203
82,YLD,47.81999969482422,-83.3467025756836
83,YLJ,54.12530136108398,-108.52300262451172
84,YLL,53.30920028686523,-110.072998046875
85,YLT,82.51779937740001,-62.280601501499994
86,YLW,49.9561004639,-119.377998352
87,YMA,63.61640167236328,-135.86799621582028
88,YMJ,50.330299377441406,-105.55899810791016
89,YMM,56.653301238999994,-111.22200012200001
90,YMO,51.291099548339844,-80.60780334472656
91,YMW,46.272800445600005,-75.9906005859
92,YMX,45.679501,-74.038696
93,YNA,50.18999862670898,-61.78919982910156
94,YND,45.5217018127,-75.5635986328
95,YNM,49.76169967651367,-77.80280303955078
96,YOC,67.57060241699219,-139.83900451660156
97,YOD,54.40499877929688,-110.27899932861328
98,YOJ,58.62139892578125,-117.16500091552734
99,YOW,45.3224983215332,-75.66919708251953
100,YPA,53.214199066199996,-105.672996521
101,YPE,56.226898,-117.446999
102,YPG,49.903099,-98.27381700000001
104,YPL,51.4463996887207,-90.21420288085938
105,YPN,49.83639907836914,-64.28859710693361
106,YPQ,44.22999954223633,-78.36329650878906
107,YPR,54.2860984802,-130.445007324
108,YPY,58.7672004699707,-111.11699676513672
109,YQA,44.974700927734375,-79.30329895019531
110,YQB,46.7911,-71.393303
111,YQF,52.18220138549805,-113.8939971923828
112,YQG,42.27560043334961,-82.95559692382812
113,YQH,60.11640167236328,-128.82200622558594
114,YQK,49.78829956054688,-94.36309814453124
115,YQL,49.6302986145,-112.80000305200001
116,YQM,46.11220169067383,-64.67859649658203
117,YQQ,49.71080017089844,-124.88700103759766
118,YQR,50.43190002441406,-104.66600036621094
119,YQT,48.37189865112305,-89.32389831542969
120,YQU,55.1796989441,-118.885002136
121,YQV,51.26470184326172,-102.46199798583984
122,YQW,52.76919937133789,-108.24400329589844
123,YQX,48.9369010925293,-54.56809997558594
124,YQY,46.1614,-60.047798
125,YQZ,53.026100158691406,-122.51000213623048
126,YRB,74.71690368649999,-94.9693984985
127,YRI,47.76440048217773,-69.58470153808594
128,YRJ,48.52000045776367,-72.2656021118164
129,YRM,52.4296989441,-114.903999329
130,YRT,62.811401367200006,-92.1157989502
131,YSB,46.625,-80.79889678955078
132,YSC,45.4385986328125,-71.69139862060547
133,YSJ,45.31610107421875,-65.89029693603516
134,YSM,60.020301818847656,-111.96199798583984
135,YSR,72.982201,-84.613602
136,YSU,46.44060134887695,-63.83359909057617
137,YSY,71.9938964844,-125.24299621600001
138,YTE,64.2300033569,-76.5267028809
139,YTH,55.80110168457031,-97.86419677734376
140,YTR,44.118900299072266,-77.5280990600586
141,YTS,48.569698333699996,-81.376701355
142,YTZ,43.627499,-79.396202
143,YUB,69.43329620361328,-133.0260009765625
144,YUL,45.4706001282,-73.7407989502
145,YUT,66.5214004517,-86.22470092770003
146,YUX,68.77610015869999,-81.2425
147,YUY,48.20610046386719,-78.83560180664062
148,YVC,55.1514015198,-105.262001038
149,YVG,53.355800628699996,-110.823997498
150,YVM,67.5457992554,-64.03140258789999
151,YVO,48.0532989502,-77.7827987671
152,YVP,58.09609985351562,-68.42690277099611
153,YVQ,65.28160095214844,-126.7979965209961
154,YVR,49.193901061999995,-123.183998108
155,YVT,55.8418998718,-108.41799926799999
156,YVV,44.7458,-81.107201
157,YWA,45.95220184326172,-77.31919860839844
158,YWG,49.909999847399995,-97.2398986816
159,YWK,52.92190170288086,-66.86440277099611
160,YWL,52.1831016541,-122.054000854
161,YWY,63.20940017700195,-123.43699645996094
162,YXC,49.610801696777,-115.78199768066001
163,YXD,53.5724983215,-113.52100372299999
164,YXE,52.170799255371094,-106.6999969482422
165,YXH,50.01890182495117,-110.72100067138672
166,YXJ,56.23809814453125,-120.73999786376952
167,YXL,50.11389923095703,-91.9052963256836
168,YXP,66.1449966431,-65.71360015869999
169,YXR,47.6974006546,-79.84734535220001
170,YXS,53.8894004822,-122.679000854
171,YXT,54.468498,-128.576009
172,YXU,43.035599,-81.1539
173,YXX,49.02529907226562,-122.36100006103516
174,YXY,60.709598541300004,-135.067001343
175,YYB,46.363602,-79.422798
176,YYC,51.113899231000005,-114.019996643
177,YYD,54.82469940185547,-127.18299865722656
178,YYE,58.8363990784,-122.59700012200001
179,YYF,49.46310043334961,-119.60199737548828
180,YYG,46.290000915527344,-63.12110137939453
181,YYH,69.5466995239,-93.57669830319999
182,YYJ,48.646900177,-123.426002502
183,YYL,56.86389923095703,-101.07599639892578
184,YYN,50.291900634799994,-107.691001892
185,YYQ,58.73920059204102,-94.06500244140624
186,YYR,53.3191986084,-60.425800323500006
187,YYT,47.618598938000005,-52.751899719200004
188,YYU,49.41389846801758,-82.46749877929688
189,YYW,50.29029846191406,-88.90969848632812
190,YYY,48.60860061645508,-68.20809936523439
191,YYZ,43.6772003174,-79.63059997559999
192,YZD,43.74250030517578,-79.4655990600586
193,YZE,45.88529968261719,-82.56780242919922
194,YZF,62.46279907226562,-114.44000244140624
195,YZH,55.293098449700004,-114.777000427
196,YZP,53.25429916379999,-131.813995361
197,YZR,42.9994010925293,-82.30889892578125
198,YZT,50.68059921264648,-127.36699676513672
199,YZU,54.14390182495117,-115.78700256347656
200,YZV,50.22330093383789,-66.26560211181639
201,YZW,60.17279815673828,-132.74299621582028
202,YZX,44.98440170288086,-64.91690063476561
203,ZFA,62.20750045776367,-133.37600708007812
204,ZFM,67.40750122070311,-134.86099243164062
205,QLD,36.50360107421875,2.814169883728028
206,BUJ,35.33250045776367,4.206389904022217
207,BJA,36.712001800500005,5.0699200630200005
208,ALG,36.691001892089844,3.215409994125366
209,DJG,24.292801,9.45244
212,VVZ,26.7234992981,8.62265014648
214,TMR,22.8115005493,5.45107984543
215,GJL,36.7951011658,5.873610019680001
216,MZW,33.535900116,-0.242353007197
218,AAE,36.822201,7.8091740000000005
219,CZL,36.2760009765625,6.620389938354492
220,TEE,35.4315986633,8.120719909670001
221,HRM,32.93040084838867,3.311539888381958
222,TID,35.3410987854,1.4631500244100002
224,TIN,27.700399398800002,-8.167099952700001
225,CFK,36.212699890100005,1.33176994324
226,TAF,35.54240036010742,-0.5322780013084412
227,TLM,35.0167007446,-1.4500000476800001
228,ORN,35.6239013672,-0.6211829781529999
229,BFW,35.1717987061,-0.593275010586
230,MUW,35.207698822021484,0.14714199304580688
231,AZR,27.83760070800781,-0.1864140033721924
232,BSK,34.793300628699996,5.73823022842
233,ELG,30.5713005065918,2.8595900535583496
234,GHA,32.38410186767578,3.7941100597381587
235,HME,31.673000335700003,6.140439987180001
236,INZ,27.2509994507,2.51202011108
237,TGR,33.067798614501946,6.088669776916504
238,LOO,33.764400482199996,2.92833995819
239,TMX,29.237100601199998,0.276033014059
240,OGX,31.917200088500977,5.412779808044434
241,IAM,28.0515,9.64291
242,COO,6.357230186462402,2.384350061416626
243,OUA,12.3532,-1.51242
244,BOY,11.160099983215332,-4.33096981048584
245,ACC,5.605189800262451,-0.16678600013256073
246,TML,9.55718994140625,-0.8632140159606934
248,NYI,7.361830234527588,-2.3287599086761475
249,TKD,4.896059989929199,-1.7747600078582764
250,ABJ,5.261390209197998,-3.9262900352478023
251,BYK,7.738800048828125,-5.073669910430908
252,DJO,6.7928099632263175,-6.473189830780028
253,HGO,9.38718032837,-5.556660175319999
254,MJC,7.2720699310302725,-7.58735990524292
255,SPY,4.746719837188722,-6.660820007324219
256,ASK,6.9031701088,-5.36558008194
257,ABV,9.006790161132812,7.263169765472412
258,AKR,7.246739864349365,5.3010101318359375
259,BNI,6.3169798851013175,5.599500179290772
260,CBQ,4.976019859313965,8.347200393676758
261,ENU,6.4742698669433585,7.561960220336914
263,IBA,7.362460136413574,3.97832989692688
264,ILR,8.440210342407228,4.493919849395752
265,JOS,9.639829635620117,8.869050025939941
266,KAD,10.696000099182127,7.320109844207764
267,KAN,12.0476,8.52462
268,MIU,11.855299949645994,13.080900192260742
269,MDI,7.703880000000001,8.61394
270,LOS,6.5773701667785645,3.321160078048706
271,MXJ,9.652170181274414,6.462259769439697
272,PHC,5.0154900550842285,6.94959020614624
273,SKO,12.916299819946287,5.207190036773682
274,YOL,9.257550239562988,12.430399894714355
275,ZAR,11.1302,7.685810000000001
276,MFQ,13.5024995803833,7.1267499923706055
277,NIM,13.4815,2.18361
278,THZ,14.875699996948242,5.265359878540039
279,AJY,16.965999603271484,8.000109672546388
282,ZND,13.779000282287598,8.983759880065918
283,MIR,35.75809860229492,10.75469970703125
284,TUN,36.85100173950195,10.22719955444336
287,GAF,34.42200088500977,8.822500228881836
288,GAE,33.87689971923828,10.103300094604492
290,DJE,33.875,10.775500297546387
291,EBM,31.70429992675781,9.254619598388672
292,SFA,34.71799850463867,10.690999984741213
293,TOE,33.939701080322266,8.110560417175293
294,LRL,9.767330169677734,1.0912499427795408
295,LFW,6.165609836578369,1.2545100450515747
296,ANR,51.189399719200004,4.46027994156
299,BRU,50.9014015198,4.48443984985
301,CRL,50.459202000000005,4.4538199999999994
305,KJK,50.817199707,3.2047200202900004
306,LGG,50.63740158081055,5.443220138549805
307,OST,51.1988983154,2.8622200489
313,OBL,51.264702,4.75333
315,AOC,50.981945,12.506389
321,IES,51.293609619099996,13.3561105728
322,REB,53.306388855,12.7522220612
324,QXH,52.203609,13.156389
325,BBH,54.338253,12.710515
328,ZMG,52.073612,11.626389
331,CBU,51.889441999999995,14.531944000000001
333,SXF,52.380001,13.5225
334,DRS,51.1328010559082,13.767200469970705
